,dataset,model,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
0,SmoothSubspace,RDST,0.9884444444444445,0.011480525647190652,0.9757425128511279,0.011521634843482028,0.633878246943156,0.6654997581171702
1,SmoothSubspace,RDST NN,0.9855555555555556,0.00808901098808945,0.9855358830439701,0.008117488054297455,0.6950960874557495,1.1643157159617104
2,Chinatown,RDST,0.9682215743440233,0.008627307723990747,0.9613995398969145,0.009989269051310149,0.9082777182261149,0.01543356842120819
3,Chinatown,RDST NN,0.9667638483965014,0.023306602152706687,0.9600804245867862,0.025739817018016996,0.8586735407511393,0.020096266836846673
4,Coffee,RDST,0.9964285714285716,0.010714285714285711,0.9963994012551669,0.01080193639569695,0.9877945184707642,0.01998714634893831
5,Coffee,RDST NN,0.9928571428571431,0.01428571428571428,0.9927988025103338,0.014402605220958386,0.5602926254272461,0.02204348230814711
6,ECG200,RDST,0.8830000000000002,0.03475149876863827,0.8699859649215035,0.04023307678710216,0.9844019969304403,0.02416624529128149
7,ECG200,RDST NN,0.8566666666666667,0.03144660377352202,0.8385281047668749,0.03734573307370428,0.8651612917582194,0.023181212147605733
8,BeetleFly,RDST,0.9216666666666665,0.05871304984602844,0.9212070289133151,0.05930619302129995,1.416695197423299,0.02628439235147002
9,BeetleFly,RDST NN,0.9283333333333332,0.06792561290771609,0.9270850155239037,0.07036940220213886,0.5809857606887817,0.019861708034450334
10,BirdChicken,RDST,0.9116666666666666,0.05927806414592912,0.9068704639935626,0.06111599066929141,1.4816945711771647,0.037466595026387196
11,BirdChicken,RDST NN,0.8933333333333333,0.06674994798166928,0.8914256701455517,0.0687040680026982,0.5887701352437337,0.025149471001424947
12,BME,RDST,0.9824444444444443,0.013606461790970328,0.9824326940639184,0.013635760008010686,1.0313360134760539,0.01924180219139418
13,BME,RDST NN,0.9679999999999997,0.021664102412362555,0.9680398871823779,0.02166001732084688,0.8661746819814046,0.022786344132798463
14,Wine,RDST,0.9518518518518518,0.046946057634151966,0.9478549946168322,0.04736598999069818,1.1578215996424357,0.022671537795066796
15,Wine,RDST NN,0.9104938271604938,0.056186404548511655,0.9098416264934552,0.05684589733383785,0.8203197081883749,0.03536782382685354
16,ItalyPowerDemand,RDST,0.9522513767411727,0.010420773925717915,0.9522292271391927,0.010446984421325894,2.2000018914540607,0.010826769211886274
17,ItalyPowerDemand,RDST NN,0.9476514415289927,0.01312908825148661,0.9476199316440167,0.013189377435110554,2.140963610013326,0.010642407247790668
18,UMD,RDST,0.9701388888888889,0.027612354655654217,0.9697992151387308,0.028187113246393863,1.140141741434733,0.029811105439090043
19,UMD,RDST NN,0.9298611111111107,0.039461312903264927,0.9289329841550286,0.0413597539751307,0.9501006921132406,0.027961249279232457
20,Beef,RDST,0.731111111111111,0.07694795419191462,0.7285831804361215,0.07704250524880944,1.584796166419983,0.03233228990279275
21,Beef,RDST NN,0.6233333333333333,0.07105032123888072,0.6192854098086296,0.06953899833839022,0.752349583307902,0.028773376158812276
22,GunPoint,RDST,0.9955555555555554,0.0055332887102172235,0.9955548244375408,0.00553429671037363,1.2301282167434693,0.024442992607919063
23,GunPoint,RDST NN,0.9775555555555555,0.013163736195217664,0.9775437194905784,0.013177146505514216,1.0231850862503051,0.029015065682846147
24,Plane,RDST,1.0,0.0,1.0,0.0,1.2538978735605875,0.02720236651443544
25,Plane,RDST NN,1.0,0.0,1.0,0.0,1.0404046932856241,0.028801854697843583
26,OliveOil,RDST,0.9022222222222224,0.04548775442324159,0.8775169082162958,0.0636266517806389,1.9333872318267822,0.057377623213512405
27,OliveOil,RDST NN,0.9099999999999999,0.035642255405212084,0.8848579919106235,0.05556744788589816,0.8141053994496663,0.0249834264839463
28,SyntheticControl,RDST,0.992111111111111,0.004258615088163748,0.9921082101271615,0.004263362039584889,1.984466592470805,0.04056592665812777
29,SyntheticControl,RDST NN,0.9948888888888887,0.003189488909868308,0.9948877105930011,0.0031908307502317335,1.9375819444656373,0.04344415553566418
30,FaceFour,RDST,0.9912878787878786,0.013017303240484519,0.9918619449066507,0.012562916914745483,1.5775206168492635,0.03406977053323262
31,FaceFour,RDST NN,0.9412878787878788,0.03174820949666708,0.944619430294646,0.03040023521639085,1.0153516133626301,0.03300100347840912
32,DistalPhalanxOutlineAgeGroup,RDST,0.8206235011990408,0.034532374100719423,0.7793592804344964,0.03392511159257108,2.154506460825602,0.054877809193720525
33,DistalPhalanxOutlineAgeGroup,RDST NN,0.8131894484412469,0.029806716137058622,0.7879615006909497,0.035601671266106735,2.059756541252136,0.035916640325048516
34,DistalPhalanxTW,RDST,0.7057553956834532,0.01897517530666509,0.5150218187552699,0.03641498292748559,2.153047553698222,0.04605473311288531
35,DistalPhalanxTW,RDST NN,0.7007194244604318,0.013850867221288867,0.4902623674992275,0.024743719752996895,2.0680014292399087,0.05765550668697227
36,SonyAIBORobotSurface1,RDST,0.930116472545757,0.02908087307430453,0.9295654025525527,0.0289717642370638,1.8480386098225912,0.0304799696951918
37,SonyAIBORobotSurface1,RDST NN,0.94165280088741,0.02545968523451604,0.9411420389984977,0.025381118783780098,1.7787185748418173,0.030796396351677625
38,MiddlePhalanxTW,RDST,0.5885281385281385,0.027416647677175793,0.3752061497242044,0.028627787987517833,2.167970911661784,0.055380554675082336
39,MiddlePhalanxTW,RDST NN,0.5917748917748918,0.0221626419673943,0.3769895130256208,0.020658152748453104,2.1096630811691286,0.054040795101193195
40,MiddlePhalanxOutlineAgeGroup,RDST,0.713852813852814,0.03357142159366458,0.656322877852471,0.04211329081266326,2.182018208503723,0.038907064058942994
41,MiddlePhalanxOutlineAgeGroup,RDST NN,0.7190476190476189,0.034275764877606175,0.654241029257986,0.04621194517338491,2.094582716623942,0.051202365931491696
42,Lightning7,RDST,0.7456621004566208,0.04819677423352067,0.7406913923188232,0.055261714587902744,1.7028592586517335,0.0268014950887184
43,Lightning7,RDST NN,0.7347031963470321,0.037512464654869175,0.7240666545036046,0.0427376559113085,1.175730816523234,0.03444310875460011
44,ProximalPhalanxOutlineAgeGroup,RDST,0.8554471544715448,0.023579478446744274,0.7991970357803171,0.03805569763176036,2.294163386027018,0.05553694116790683
45,ProximalPhalanxOutlineAgeGroup,RDST NN,0.8466666666666668,0.019088212035713002,0.7867081883313026,0.030021048478793867,2.2361772775650026,0.05006942875713504
46,ProximalPhalanxTW,RDST,0.8017886178861792,0.01822952058379984,0.5017554682923773,0.055450130047972765,2.300424067179362,0.038867218468517276
47,ProximalPhalanxTW,RDST NN,0.795609756097561,0.01769371692101641,0.49122662764868363,0.0545407019900504,2.251081411043803,0.06517126981786679
48,PowerCons,RDST,0.9583333333333334,0.012234841969747355,0.9583147607802701,0.012247079703363143,1.892278544108073,0.04535521288181661
49,PowerCons,RDST NN,0.9574074074074074,0.015067293042079986,0.9573910560111979,0.015075261685616664,1.698796820640564,0.041535853463376814
50,ArrowHead,RDST,0.8777142857142856,0.034995820936123176,0.8769046074574979,0.03595886800062964,1.7436109145482381,0.031243860066304634
51,ArrowHead,RDST NN,0.821904761904762,0.04160280820802426,0.8219456268025757,0.04197427075235743,1.3866913795471192,0.03470615320475067
52,Meat,RDST,0.9805555555555555,0.0187988047952096,0.9805804534616069,0.01873856506544254,2.1427456935246787,0.05502170630680765
53,Meat,RDST NN,0.9877777777777776,0.017708197167232473,0.9877973355508656,0.017605444946145975,1.2440990209579468,0.04010789983777514
54,Trace,RDST,1.0,0.0,1.0,0.0,1.84715785185496,0.03551515764752538
55,Trace,RDST NN,0.9916666666666664,0.007340905181848422,0.9907763535472517,0.008374424966503827,1.4073203166325887,0.028618306774981228
56,ToeSegmentation2,RDST,0.9458974358974356,0.024606034548991577,0.9196700034942934,0.03280309907902847,1.951916233698527,0.04977852654698707
57,ToeSegmentation2,RDST NN,0.9353846153846153,0.02453512556698603,0.9042439756391565,0.031937016398795655,1.3667922019958496,0.0331245093576011
58,SonyAIBORobotSurface2,RDST,0.9230849947534103,0.02813418203394779,0.9190903838968308,0.028722664597646174,2.5503397544225055,0.03967000516292508
59,SonyAIBORobotSurface2,RDST NN,0.916509268975166,0.031386926066635325,0.9124399499773286,0.031916339517584845,2.5212633848190307,0.03309574152210157
60,Herring,RDST,0.6265625,0.04930341593557861,0.5738169665460229,0.07932386552935142,2.5869836966196695,0.09820475391267455
61,Herring,RDST NN,0.6088541666666667,0.0323965032085083,0.5393426053687733,0.08384974047245684,1.4145495891571045,0.03977726183766215
62,GunPointAgeSpan,RDST,0.9893459915611814,0.00472804532299892,0.989344914858179,0.004727969340406311,2.1937585353851317,0.04525431190318468
63,GunPointAgeSpan,RDST NN,0.9783755274261605,0.01068737724618228,0.9783720364978018,0.010690756523906065,2.023297158877055,0.038778560170654876
64,GunPointMaleVersusFemale,RDST,0.9988396624472572,0.0019133288129975898,0.99883656201808,0.001918609441016921,2.2121449947357177,0.04893035089524026
65,GunPointMaleVersusFemale,RDST NN,0.9959915611814345,0.003261524226527498,0.995980792677821,0.0032712573030477705,2.0407472531000774,0.05115328438340546
66,GunPointOldVersusYoung,RDST,0.9940740740740741,0.0035477364262942223,0.9940596470405053,0.003558089064536008,2.204046281178792,0.047071746931602355
67,GunPointOldVersusYoung,RDST NN,0.9759788359788361,0.01181257664737862,0.9759134485051371,0.01184189347851575,2.01383052666982,0.03953174399667461
68,Car,RDST,0.9422222222222222,0.021401511426953585,0.9405954741228367,0.018332428485605647,2.826855842272441,0.08532569986100905
69,Car,RDST NN,0.9255555555555556,0.03241322699069959,0.9276652827469108,0.031640054320284536,1.452936307589213,0.03920352509634359
70,DistalPhalanxOutlineCorrect,RDST,0.8222222222222222,0.02383116808583689,0.8045513327393846,0.01937281643763307,3.2005481481552125,0.060430669546562774
71,DistalPhalanxOutlineCorrect,RDST NN,0.81268115942029,0.01969339832756553,0.8017108959831297,0.021750350513578064,3.1343390703201295,0.06200056480984434
72,MiddlePhalanxOutlineCorrect,RDST,0.8262313860252006,0.012631950074463768,0.8148006994882446,0.014325217718638742,3.240764355659485,0.057766929431159506
73,MiddlePhalanxOutlineCorrect,RDST NN,0.809621993127148,0.0180229547905768,0.797017230693575,0.020546780022727574,3.18480384349823,0.06270564864164187
74,ProximalPhalanxOutlineCorrect,RDST,0.891294387170676,0.017819092630962458,0.8511427040099608,0.01689456974020616,3.2586110750834147,0.07466535114591268
75,ProximalPhalanxOutlineCorrect,RDST NN,0.8745704467353953,0.014133977868560214,0.8452617226206859,0.01852276653126417,3.1733347177505493,0.07423437528688194
76,ToeSegmentation1,RDST,0.9507309941520465,0.013384181538199782,0.9505559471633376,0.013510321930101368,2.221607041358948,0.045685324399144085
77,ToeSegmentation1,RDST NN,0.9340643274853802,0.016738968034298102,0.9337657018920491,0.016887016981141093,1.8024764855702717,0.039970756600760764
78,Lightning2,RDST,0.7683060109289618,0.03584966003684529,0.754904020509284,0.04282233142778081,3.1286090056101483,0.14026784543362514
79,Lightning2,RDST NN,0.8153005464480874,0.04518038602971451,0.8064340155950573,0.05024262560911697,1.5604182163874307,0.040709269453763464
80,Ham,RDST,0.8552380952380952,0.03511633475307893,0.849305598612296,0.03537816187736738,2.92885471979777,0.10707798762787439
81,Ham,RDST NN,0.8190476190476192,0.039650780942212055,0.8176147206963409,0.04025420876735024,2.0077579975128175,0.04882132731222689
82,TwoLeadECG,RDST,0.9983026046239389,0.0017402480242690553,0.9983025833283016,0.001740294219684,3.2771650075912477,0.042438561091993635
83,TwoLeadECG,RDST NN,0.9846356453028974,0.012928733670556466,0.9846283778803687,0.012951929832459623,3.2373551607131956,0.03828286573630254
84,ShapeletSim,RDST,0.9979629629629628,0.0033589550272624053,0.9979628772222003,0.0033591204821657554,3.241037352879842,0.1288905713781656
85,ShapeletSim,RDST NN,0.9894444444444443,0.008528576992347745,0.9894428263821363,0.008532232402322001,2.060231018066406,0.03814625628660019
86,MoteStrain,RDST,0.9413205537806175,0.021497084461249028,0.9410823869291519,0.021539832339765523,3.616192603111267,0.042346254661134015
87,MoteStrain,RDST NN,0.9061501597444088,0.029660275437269998,0.905462755697465,0.03030354290033777,3.619754099845886,0.048761966331529995
88,DiatomSizeReduction,RDST,0.9436819172113288,0.030172718866052974,0.8958957052299499,0.0743554895858178,3.193790578842163,0.06481935747132302
89,DiatomSizeReduction,RDST NN,0.9534858387799564,0.02827232872034523,0.9105540348365543,0.07452631160456434,2.4077373266220095,0.04466064009434573
90,MedicalImages,RDST,0.7771929824561403,0.011863204076353807,0.6966997669706972,0.029599734823917076,4.047894247372946,0.06289487133180427
