,dataset,model,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
0,ACSF1,R_DST_Ensemble,0.8446666666666666,0.03801169410706248,0.8426458645584208,0.038779329101832745,17.10707150300344,7.343309549353034
1,Adiac,R_DST_Ensemble,0.8019607843137254,0.011141884040851485,0.7897141164776201,0.012902756884942709,2.208584507306417,0.06277900349665595
2,ArrowHead,R_DST_Ensemble,0.8897142857142858,0.03322649545167229,0.8876919571281838,0.03463333725266524,0.9903726021448771,0.057867099936753603
3,Beef,R_DST_Ensemble,0.7733333333333333,0.0813770374382247,0.7687762194232783,0.08338740116221476,1.4030231714248658,0.08053546776214665
4,BeetleFly,R_DST_Ensemble,0.9216666666666666,0.05871304984602845,0.9207565098711281,0.05993219230253208,1.269456934928894,0.08118597507871736
5,BirdChicken,R_DST_Ensemble,0.9166666666666665,0.056764621219754646,0.9155460329891614,0.05817470570478996,1.338361144065857,0.08313195817815676
6,BME,R_DST_Ensemble,0.9944444444444444,0.006226189211609732,0.9944433993617048,0.006227995595309305,0.3770737250645955,0.030214903655620927
7,Car,R_DST_Ensemble,0.9338888888888889,0.02452637783849346,0.9363971796284347,0.023298454750383054,2.2656083424886067,0.11307197471787395
8,CBF,R_DST_Ensemble,0.9939999999999999,0.009272287131122254,0.9939755659298014,0.00938123838766193,0.8203714052836101,0.05703036229870463
9,Chinatown,R_DST_Ensemble,0.9655004859086492,0.015845390900660814,0.9581238038156658,0.018218367474194606,0.13384347756703693,0.026716219783810995
10,ChlorineConcentration,R_DST_Ensemble,0.7820659722222223,0.015897185607011255,0.7474777624749015,0.019116343519262773,6.226508458455403,0.10705395718245894
11,Coffee,R_DST_Ensemble,0.9988095238095238,0.006410910484683929,0.9987956989247312,0.006485359767731875,0.7922746102015178,0.0422234288583212
12,Computers,R_DST_Ensemble,0.8606666666666667,0.02506702127408751,0.8605898077745373,0.025074366959835847,10.29855260848999,0.6174040673513855
13,CricketX,R_DST_Ensemble,0.8296581196581195,0.01697845553548722,0.8297965941955444,0.017698127091631616,3.617448623975118,0.12717351829485285
14,CricketY,R_DST_Ensemble,0.8544444444444443,0.02090106238087626,0.8537004476842134,0.02106067370537827,3.5822142998377484,0.11470846693463194
15,CricketZ,R_DST_Ensemble,0.8558974358974357,0.019986846430671876,0.8478693144920266,0.020976415994914937,3.6410120248794557,0.15261233317075337
16,DiatomSizeReduction,R_DST_Ensemble,0.9313725490196078,0.02797253269933237,0.8677455400926696,0.06743482263973562,1.7377475817998251,0.09515289817608678
17,DistalPhalanxOutlineAgeGroup,R_DST_Ensemble,0.7985611510791367,0.030352551237020114,0.7797488659381396,0.033812995566932874,1.1994021654129028,0.0660695239550733
18,DistalPhalanxOutlineCorrect,R_DST_Ensemble,0.8305555555555554,0.021120077358369575,0.822275918122802,0.023269337606034734,1.7133721510569255,0.052087332032519806
19,DistalPhalanxTW,R_DST_Ensemble,0.7035971223021583,0.016861770581531838,0.4870575131343437,0.028803113506812514,1.2587979316711426,0.03202821265814074
20,Earthquakes,R_DST_Ensemble,0.74052757793765,0.010496915409227467,0.4423362034983956,0.01988533517121167,5.635884833335877,0.29138371164480753
21,ECG200,R_DST_Ensemble,0.8883333333333333,0.027938424357067036,0.8759232188875309,0.030776946065138727,0.4933014790217082,0.027263519010523173
22,ECG5000,R_DST_Ensemble,0.9461333333333334,0.0016041099476905663,0.5410959078209873,0.019546427004234552,5.82599318822225,0.1742588218680094
23,ECGFiveDays,R_DST_Ensemble,0.9958575300038716,0.010584127087219586,0.9958503054996349,0.010618718778966195,0.9096506913503011,0.07502512885606905
24,ElectricDevices,R_DST_Ensemble,0.9088834133056672,0.025650071019177823,0.885224252219313,0.03746948613767479,130.4686186949412,5.178869047726833
25,EOGHorizontalSignal,R_DST_Ensemble,0.8285451197053407,0.02989671292117938,0.8255226014970842,0.027593202421183773,36.29534533023834,1.6942568890877547
26,EOGVerticalSignal,R_DST_Ensemble,0.7697053406998158,0.04663238350527138,0.7612724840097527,0.05238950689438234,37.78194335301717,1.7709726255767855
27,FaceAll,R_DST_Ensemble,0.9862327416173571,0.016559545108771282,0.9746120361113394,0.01307606302918114,3.3601348876953123,0.08243194752793669
28,FaceFour,R_DST_Ensemble,0.9757575757575757,0.027948282948025333,0.9772212823561505,0.02636250700698651,1.1195702075958252,0.05974169838096785
29,FacesUCR,R_DST_Ensemble,0.9667804878048781,0.006276528075278098,0.9548888038404756,0.010427803521078107,2.737235442797343,0.07453539169815127
30,FiftyWords,R_DST_Ensemble,0.8397802197802199,0.012756722515104575,0.7372886651335914,0.022874333149302855,3.8041717131932575,0.12374015744240234
31,Fish,R_DST_Ensemble,0.9864761904761905,0.00580561929681074,0.9866411192402904,0.005932487952009094,3.6503992875417075,0.1585834335239992
32,FordA,R_DST_Ensemble,0.9726010101010101,0.005696389844407002,0.9725784542277692,0.005701257495240653,69.84271483421325,3.2097040079887975
33,FordB,R_DST_Ensemble,0.9349794238683127,0.01985143554764172,0.9349714400071902,0.019863465354466557,67.22780017852783,3.7428641931113624
34,FreezerRegularTrain,R_DST_Ensemble,0.9987368421052631,0.0005772614118948738,0.99873684093603,0.0005772630387950094,9.899757313728333,0.2951633205523293
35,FreezerSmallTrain,R_DST_Ensemble,0.966888888888889,0.028652652967485724,0.9668478302224062,0.028705710928384368,9.41241532166799,0.414234586850181
36,GunPoint,R_DST_Ensemble,0.9980000000000001,0.004268749491621897,0.9979994959998117,0.004269794660021247,0.5961711486180623,0.03889606484653086
37,GunPointAgeSpan,R_DST_Ensemble,0.9968354430379746,0.0027099646790432904,0.9968351767893165,0.002710028839314128,1.0718339045842489,0.03626548200758522
38,GunPointMaleVersusFemale,R_DST_Ensemble,0.9998945147679325,0.0005680553594023769,0.9998942085898608,0.000569704178778951,1.114634426434835,0.06761273978055307
39,GunPointOldVersusYoung,R_DST_Ensemble,1.0,0.0,1.0,0.0,1.115157969792684,0.07294543414008127
40,Ham,R_DST_Ensemble,0.8488888888888889,0.03901534348123738,0.8479363217185798,0.03945612008069931,2.3397608757019044,0.10006987706176303
41,Haptics,R_DST_Ensemble,0.5646103896103897,0.02523780750246232,0.543142942937478,0.028328954121007274,18.190347822507224,0.7002802869782043
42,Herring,R_DST_Ensemble,0.6333333333333333,0.04377479456135561,0.5935940610313594,0.0528621260249157,2.0522680918375653,0.07267274765306218
43,HouseTwenty,R_DST_Ensemble,0.9851540616246499,0.013668204928577989,0.9847346819246341,0.013946749838600218,21.30404099623362,1.1886396471834288
44,InlineSkate,R_DST_Ensemble,0.49575757575757584,0.030185225559152817,0.5109982486955293,0.029631212749332694,62.77178355852763,4.864451113671727
45,InsectEPGRegularTrain,R_DST_Ensemble,1.0,0.0,1.0,0.0,4.427797126770019,0.2528160598510393
46,InsectEPGSmallTrain,R_DST_Ensemble,0.96760374832664,0.026899304059130186,0.956933258948965,0.03773581506131353,3.8359585126241047,0.3393600730163725
47,InsectWingbeatSound,R_DST_Ensemble,0.6678787878787878,0.011012417511843509,0.660661654233835,0.011837777477870482,5.531408397356669,0.2530210637045025
48,ItalyPowerDemand,R_DST_Ensemble,0.958179462261095,0.0100946929015315,0.958161727349149,0.01012091409798843,0.2723965088526408,0.02497875994079632
49,LargeKitchenAppliances,R_DST_Ensemble,0.9453333333333335,0.01345279813933807,0.9453318102194476,0.013452868966669732,14.473535203933716,0.603641697310118
50,Lightning2,R_DST_Ensemble,0.7524590163934426,0.03955997332838965,0.73291282350028,0.047514321474595125,2.6910959561665853,0.1474062363497169
51,Lightning7,R_DST_Ensemble,0.7401826484018266,0.04192218518547645,0.7312474794004166,0.04953418837287614,1.327785849571228,0.048952127574418414
52,Mallat,R_DST_Ensemble,0.9714285714285713,0.01729647900225289,0.9711906287586186,0.018389143929728537,68.01262455781301,7.231653833552299
53,Meat,R_DST_Ensemble,0.9766666666666668,0.02531285722198781,0.9764482171881342,0.02562217106941428,1.6971882104873657,0.06656945710182477
54,MedicalImages,R_DST_Ensemble,0.7882894736842105,0.014172911556063305,0.7125330914032965,0.023302762601463196,1.8097354650497437,0.039061067715850405
55,MiddlePhalanxOutlineAgeGroup,R_DST_Ensemble,0.6878787878787879,0.02975383597825036,0.6402773098869071,0.03880181752189988,1.2034676949183145,0.05235192138065895
56,MiddlePhalanxOutlineCorrect,R_DST_Ensemble,0.8415807560137458,0.013784310048200387,0.8331939474829441,0.01505964065415575,1.7328584432601928,0.07055038438619123
57,MiddlePhalanxTW,R_DST_Ensemble,0.5564935064935065,0.025269114320215873,0.37082597193079625,0.02383938260529686,1.273130226135254,0.04072629561265505
58,MixedShapesRegularTrain,R_DST_Ensemble,0.983615120274914,0.0032346537083343518,0.9835483808877751,0.0032849565526959293,87.57812873522441,5.643994968436564
59,MixedShapesSmallTrain,R_DST_Ensemble,0.9652096219931271,0.010327672021832227,0.9651393449719349,0.010072697411113437,70.50706832408905,6.4119899012456445
60,MoteStrain,R_DST_Ensemble,0.932454739084132,0.023356471190873484,0.9322463430894071,0.02335593114839895,0.5135836521784465,0.04909283445813547
61,NonInvasiveFetalECGThorax1,R_DST_Ensemble,0.936013570822731,0.00453456405675417,0.9308332510502227,0.004829407343815862,81.06369593938192,3.7574173300857616
62,NonInvasiveFetalECGThorax2,R_DST_Ensemble,0.948481764206955,0.003982673776569019,0.9442002649600099,0.004193300218352202,79.83455199400584,2.7478326072849493
63,OliveOil,R_DST_Ensemble,0.9066666666666666,0.04745368112013915,0.8804036055938399,0.07481862486055324,1.6834568103154501,0.13034571536754055
