,dataset,model,acc_mean,acc_std,f1_mean,f1_std,time_mean,time_std
0,ACSF1,R_DST_Ensemble,0.8143333333333335,0.0390455574368654,0.8110448323259244,0.040779419842806676,8.35957539876302,6.605231038284071
1,Adiac,R_DST_Ensemble,0.8020460358056266,0.013861169027589193,0.7900503400314107,0.016071984312983977,2.2039199670155845,0.09046774459873295
2,ArrowHead,R_DST_Ensemble,0.8853333333333334,0.035592044768369954,0.8831859145837072,0.03735113056565582,0.8894710938135783,0.046488022468366995
3,Beef,R_DST_Ensemble,0.7788888888888887,0.07721222956929642,0.7733705553705554,0.0820573593958717,1.3541844367980957,0.040754043900445555
4,BeetleFly,R_DST_Ensemble,0.9233333333333332,0.05587684871413403,0.9228006303184658,0.05643791178024658,1.1943492650985719,0.04898543877976955
5,BirdChicken,R_DST_Ensemble,0.9266666666666665,0.06155395104206461,0.9256736538315486,0.06289820559978575,1.2704674084981282,0.07100734301194457
6,BME,R_DST_Ensemble,0.9953333333333333,0.005483983413001364,0.9953325105484002,0.00548574424462597,0.328705890973409,0.020152871461487858
7,Car,R_DST_Ensemble,0.935,0.02558573097704322,0.9375509538962441,0.024358196761939458,1.9082923730214436,0.04877606369884601
8,CBF,R_DST_Ensemble,0.9925555555555555,0.01133533025254036,0.9925255745815955,0.011452998975316361,0.6510955572128296,0.02894044090275168
9,Chinatown,R_DST_Ensemble,0.964625850340136,0.01692859987398769,0.957232715443864,0.019435057599585692,0.1713933785756429,0.029172967750783308
10,ChlorineConcentration,R_DST_Ensemble,0.7812586805555555,0.015307757930531856,0.7459361650434282,0.018578190406554475,5.680351694424947,0.12045177773195472
11,Coffee,R_DST_Ensemble,0.9976190476190477,0.008908708063747476,0.9975913978494624,0.00901216402835874,0.7634864807128906,0.042695034638071255
12,Computers,R_DST_Ensemble,0.8582666666666666,0.02624364473332333,0.8581883802807313,0.02624293078143101,4.9284272988637285,0.21519401426220758
13,CricketX,R_DST_Ensemble,0.828974358974359,0.014776440547921953,0.8292538836257146,0.015111864302870526,3.072526486714681,0.08405362316759865
14,CricketY,R_DST_Ensemble,0.8545299145299144,0.022046643651832957,0.8538058465297771,0.022620548690337746,3.0946943839391072,0.11681932620776832
15,CricketZ,R_DST_Ensemble,0.8570085470085471,0.016705193253224695,0.8490474357226485,0.01756800215733605,3.056107441584269,0.07706406399928416
16,DiatomSizeReduction,R_DST_Ensemble,0.9310457516339867,0.027320339618989373,0.8675428844203663,0.06720007797458723,1.2317586580912272,0.03746773992903498
17,DistalPhalanxOutlineAgeGroup,R_DST_Ensemble,0.796882494004796,0.028877721340606045,0.7779285348891365,0.029464519958965586,1.1968674580256145,0.10485312771132847
18,DistalPhalanxOutlineCorrect,R_DST_Ensemble,0.8303140096618356,0.02213969395036497,0.821988231974344,0.02427588349294477,1.7207536458969117,0.06690256487930418
19,DistalPhalanxTW,R_DST_Ensemble,0.7043165467625899,0.02322675361297893,0.491685115033615,0.03670352497033483,1.2710697174072265,0.03963107400635041
20,Earthquakes,R_DST_Ensemble,0.745083932853717,0.009948426145175798,0.4416133041409363,0.01824026612575809,3.486628230412801,0.1020142280853925
21,ECG200,R_DST_Ensemble,0.887,0.023685438564654035,0.8741324563214548,0.026936340165164527,0.4689159075419108,0.031458587862937384
22,ECG5000,R_DST_Ensemble,0.9459555555555555,0.001816612865892665,0.5388745883256079,0.02194981738818693,5.566694617271423,0.12174248035077202
23,ECGFiveDays,R_DST_Ensemble,0.9931087882307394,0.01191984477740097,0.9931010123494971,0.011950143795238262,0.613217043876648,0.02855051176445307
24,ElectricDevices,R_DST_Ensemble,0.9092378852721218,0.025270313954192453,0.8856166384138667,0.037100958135879214,134.8017724275589,6.952699570134597
25,EOGHorizontalSignal,R_DST_Ensemble,0.8268876611418048,0.030027453474732915,0.8234004742825337,0.02861032787868915,13.876358405749004,0.46531112522094137
26,EOGVerticalSignal,R_DST_Ensemble,0.7740331491712709,0.04475024439817471,0.7660343900582306,0.05085563173466426,14.061641057332357,0.5178630350186793
27,FaceAll,R_DST_Ensemble,0.9875739644970415,0.01443673808090579,0.9771248641292415,0.01091863700859609,3.4204028447469077,0.16331536939032984
28,FaceFour,R_DST_Ensemble,0.9708333333333332,0.02635503604060449,0.972107814806621,0.024393777243987308,1.0252871592839559,0.045289459550754314
29,FacesUCR,R_DST_Ensemble,0.9670081300813007,0.006891106020842748,0.9546697378211023,0.010509014567430894,2.742397983868917,0.08739403802834574
30,FiftyWords,R_DST_Ensemble,0.8367765567765569,0.011956438979325032,0.7328553310540044,0.02020431230666356,3.175176501274109,0.10270624586376627
31,Fish,R_DST_Ensemble,0.986857142857143,0.005929288539532726,0.9870424630692795,0.006020106923757738,2.5735947926839193,0.0764837671778686
32,FordA,R_DST_Ensemble,0.9714141414141413,0.00471864229883692,0.9713874810239035,0.004725649587912884,45.864947803815205,1.4483593401722459
33,FordB,R_DST_Ensemble,0.9335802469135802,0.019193196816687384,0.9335702378619088,0.01921231637406945,44.12820313771566,1.4144835130134832
34,FreezerRegularTrain,R_DST_Ensemble,0.998561403508772,0.000674013077624511,0.9985614018341178,0.0006740152834902787,6.235198100407918,0.17877386339164383
