,Dataset,n_shapelets,p_norm,lengths,percentiles,acc_mean,acc_std,shapelet_sizes
0,ArrowHead,100.0,,,,0.8182857142857143,0.0552131306476853,
1,ArrowHead,1000.0,,,,0.8845714285714286,0.0141824841668466,
2,ArrowHead,10000.0,,,,0.8777142857142858,0.0267047347326809,
3,ArrowHead,20000.0,,,,0.8765714285714286,0.027665642141509,
4,ArrowHead,30000.0,,,,0.8742857142857143,0.0234216017507647,
5,ArrowHead,,1.0,,,0.8811428571428571,0.0223953347911604,
6,ArrowHead,,0.9,,,0.8742857142857143,0.0219832960704815,
7,ArrowHead,,0.8,,,0.8731428571428571,0.023808761892571,
8,ArrowHead,,0.7,,,0.8697142857142858,0.0287764075703181,
9,ArrowHead,,0.6,,,0.8674285714285714,0.0199263951704716,
10,ArrowHead,,0.5,,,0.8560000000000001,0.0290024629495988,
11,ArrowHead,,,,,0.8777142857142858,0.0241356709507918,[5]
12,ArrowHead,,,,,0.8765714285714286,0.0259607238665155,[7]
13,ArrowHead,,,,,0.8800000000000001,0.0173322867292606,[9]
14,ArrowHead,,,,,0.8811428571428571,0.0195959179422654,[11]
15,ArrowHead,,,,,0.8788571428571428,0.0167185586723746,"[5, 7, 9]"
16,ArrowHead,,,,,0.8765714285714286,0.0235883056463431,"[7, 9, 11]"
17,ArrowHead,,,,"[0, 5]",0.8822857142857143,0.0221608222053317,
18,ArrowHead,,,,"[5, 10]",0.8822857142857143,0.0212583717002722,
19,ArrowHead,,,,"[10, 15]",0.8742857142857143,0.0236987901180888,
20,ArrowHead,,,,"[15, 20]",0.8720000000000001,0.0221608222053317,
21,ArrowHead,,,,"[0, 10]",0.881142857142857,0.0171047194823951,
22,ArrowHead,,,,"[5, 15]",0.8765714285714286,0.0249341991191673,
23,ArrowHead,,,,"[10, 20]",0.8765714285714286,0.0215633854447007,
24,ECG5000,100.0,,,,0.9379111111111113,0.0021526899623666,
25,ECG5000,1000.0,,,,0.9441777777777778,0.0012911856930074,
26,ECG5000,10000.0,,,,0.9473777777777777,0.0012680304549055,
27,ECG5000,20000.0,,,,0.9479555555555556,0.0016888888888888,
28,ECG5000,30000.0,,,,0.9482222222222224,0.0011674600476945,
29,ECG5000,,1.0,,,0.9477777777777778,0.0013553733939534,
30,ECG5000,,0.9,,,0.947688888888889,0.0014442734941575,
31,ECG5000,,0.8,,,0.9475111111111112,0.0016232873215777,
32,ECG5000,,0.7,,,0.9468,0.0017811079919568,
33,ECG5000,,0.6,,,0.9465333333333332,0.0019198765392404,
